Nome;Nazione;Citta;Indirizzo;Latitudine;Longitudine;Fascia_di_prezzo;Delivery;Online;Tipo_di_cucina
Mingles;South Korea;Seoul;2F 19 Dosan-daero 67-gil Gangnam-gu Seoul 06016 South Korea;3.752.535;12.704.426;1000;No;No;Korean Korean Contemporary
L Enclume;United Kingdom;Cartmel;Cavendish Street Cartmel LA11 6QA United Kingdom;542.017.708;-29.538.681;1000;No;No;Creative British
Alain Ducasse at The Dorchester;United Kingdom;London;Park Lane Mayfair London W1K 1QA United Kingdom;515.073.381;-0.152575;1000;No;No;French
HA c lA ne Darroze at The Connaught;United Kingdom;London;Carlos Place Mayfair London W1K 2AL United Kingdom;51.510.188;-0.1492905;1000;No;No;Modern Cuisine
Restaurant Gordon Ramsay;United Kingdom;London;68-69 Royal Hospital Road Chelsea London SW3 4HP United Kingdom;514.854.381;-0.1621766;1000;No;No;French
Fat Duck;United Kingdom;Bray;High Street Bray SL6 2AQ United Kingdom;515.078.582;-0.7017529;1000;No;No;Creative
Waterside Inn;United Kingdom;Bray;Ferry Road Bray SL6 2AT United Kingdom;515.091.092;-0.6994376;1000;No;No;Classic French
Sketch;United Kingdom;Mayfair London;The Lecture Room and Library;4,42077E+11;-0.1415369;1000;No;No;Modern French
The Ledbury;United Kingdom;London;127 Ledbury Road Notting Hill London W11 2AQ United Kingdom;51.516.681;-0.2000731;1000;No;No;Modern Cuisine
Moor Hall;United Kingdom;Aughton;Prescot Road Aughton L39 6RT United Kingdom;535.423.365;-28.919.183;1000;No;No;Modern British
CORE by Clare Smyth;United Kingdom;London;92 Kensington Park Road Notting Hill London W11 2PN United Kingdom;515.126.689;-0.2030649;1000;No;No;Modern British
Steirereck im Stadtpark;Austria;Vienna;Am Heumarkt 2a Vienna 1030 Austria;482.043.967;163.815.669;1000;No;No;Creative Contemporary
Amador;Austria;Vienna;Grinzinger StraAYe 86 Vienna 1190 Austria;482.539.745;163.586.534;1000;No;No;Creative Contemporary
Jungsik New York;USA;New York;2 Harrison St New York 10013 USA;407.187.256;-740.091.114;1000;No;No;Korean Contemporary
Per Se;USA;New York;10 Columbus Circle New York 10019 USA;407.680.545;-739.825.882;1000;No;No;Contemporary French
Le Bernardin;USA;New York;155 W 51st St New York 10019 USA;4.076.177;-7.398.223;1000;No;No;Seafood
Eleven Madison Park;USA;New York;11 Madison Ave New York 10010 USA;407.415.543;-739.872.414;1000;No;No;Vegan Innovative
Masa;USA;New York;10 Columbus Circle New York 10019 USA;4.076.819;-7.398.234;1000;No;No;Japanese Sushi
The Inn at Little Washington;USA;Washington;309 Middle St Washington 22747 USA;387.134.767;-781.595.348;1000;No;No;American French
Smyth;USA;Chicago;177 N Ada St Chicago 60607 USA;418.850.485;-876.606.324;1000;No;No;Contemporary Creative
Seokyonanmyunbang;South Korea;Seoul;16 Donggyo-ro 12-gil Mapo-gu Seoul 04029 South Korea;3.755.359;12.691.231;100;No;No;Noodles
Okdol Heyonok;South Korea;Seoul;26-1 Ogeum-ro 36-gil Songpa-gu Seoul 05700 South Korea;3.750.153;12.712.408;100;No;No;Naengmyeon
Gomtang Lab;South Korea;Seoul;153 Dosan-daero Gangnam-gu Seoul 06037 South Korea;3.751.883;12.702.521;100;No;No;Gomtang
Jeongjitgan;South Korea;Busan;6 Bibong-ro Saha-gu Busan 49419 South Korea;3.509.561;12.896.248;100;No;No;Dwaeji-gukbap
Alinea;USA;Chicago;1723 N Halsted St Chicago 60614 USA;419.132.737;-87.648.174;1000;No;No;Creative Modern Cuisine
Sorn;Thailand;Bangkok;56 Soi Sukhumvit 26 Khlong Tan Khlong Toei Bangkok 10110 Thailand;137.231.336;1.005.684.937;1000;No;No;Southern Thai
Azurmendi;Spain;Larrabetzu;Legina Auzoa Larrabetzu 48195 Spain;4.326.065;-281.454;1000;No;No;Creative
Aponiente;Spain;El Puerto de Santa MarAa;Francisco Cossi Ochoa El Puerto de Santa MarAa 11500 Spain;366.033.273;-62.164.435;1000;No;No;Creative Innovative
DiverXO;Spain;Madrid;Padre DamiA n 23 Madrid 28036 Spain;404.582.913;-36.856.715;1000;No;No;Creative
Noor;Spain;CA3rdoba;Pablo Ruiz Picasso 8 CA3rdoba 14014 Spain;378.899.393;-47.585.272;1000;No;No;Creative
Cenador de AmA3s;Spain;Villaverde de Pontones;Plaza del Sol Villaverde de Pontones 39793 Spain;434.124.884;-36.988.243;1000;No;No;Modern Cuisine
Quique Dacosta;Spain;DA c nia;Rascassa 1 DA c nia 03700 Spain;388.537.884;0.0852209;1000;No;No;Creative
Atrio;Spain;CA ceres;Plaza San Mateo 1 CA ceres 10003 Spain;394.730.183;-63.713.456;1000;No;No;Creative
Casa Marcial;Spain;Arriondas;La Salgar Arriondas 33549 Spain;434.184.082;-51.931.556;1000;No;No;Creative Asturian
El Celler de Can Roca;Spain;Girona;Can Sunyer 48 Girona 17007 Spain;419.932.026;2.807.927;1000;No;No;Creative
AkelaA e;Spain;Donostia San SebastiA n;Paseo del Padre Orcolaga 56 Donostia San SebastiA n 20008 Spain;433.027.805;-20.731.493;1000;No;No;Creative Traditional Cuisine
MartAn Berasategui;Spain;Lasarte - Oria;Loidi 4 Lasarte - Oria 20160 Spain;432.669.352;-20.157.211;1000;No;No;Creative
Lasarte;Spain;Barcelona;Mallorca 259 Barcelona 08008 Spain;413.936.278;21.622.018;1000;No;No;Creative
ABaC;Spain;Barcelona;Avenida del Tibidabo 1 Barcelona 08022 Spain;414.103.822;21.367.664;1000;No;No;Creative
Disfrutar;Spain;Barcelona;Villarroel 163 Barcelona 08036 Spain;413.879.756;21.530.369;1000;No;No;Creative
Arzak;Spain;Donostia San SebastiA n;Avenida Alcalde JosA c Elosegi 273 Donostia San SebastiA n 20015 Spain;433.214.016;-19.490.932;1000;No;No;Creative Traditional Cuisine
Cocina Hermanos Torres;Spain;Barcelona;TaquAgraf Serra 20 Barcelona 08029 Spain;413.865.273;21.400.168;1000;No;No;Creative
Ultraviolet by Paul Pairet;China Mainland;Shanghai;somewhere in Shanghai - meet at Mr Mrs Bund restaurant - 6F Bund 18 18 Zhongshan Dong Yi Road Huangpu Shanghai China Mainland;31.240.358;12.148.509;1000;No;No;Innovative
Taian Table;China Mainland;Shanghai;101-102 Building No 1 Garden Office No 161 Lane 465 Zhenning Road Changning Shanghai China Mainland;31.221.807;121.474.049;1000;No;No;Innovative
Casa Perbellini 12 Apostoli;Italy;Verona;vicolo Corticella San Marco 3 Verona 37121 Italy;454.426.941;109.961.161;1000;No;No;Creative Contemporary
Le Calandre;Italy;Rubano;via Liguria 1 localitA Sarmeola Rubano 35030 Italy;454.215.425;118.096.633;1000;No;No;Creative Contemporary
Enrico Bartolini al Mudec;Italy;Milan;via Tortona 56 Milan 20144 Italy;454.516;9.161.865;1000;No;No;Creative
Uliassi;Italy;Senigallia;banchina di Levante 6 Senigallia 60019 Italy;437.194.609;132.206.503;1000;No;No;Creative Seafood
Enoteca Pinchiorri;Italy;Florence;via Ghibellina 87 Florence 50122 Italy;43.770.066;112.621.974;1000;No;No;Italian Contemporary Creative
Atelier Moessmer Norbert Niederkofler;Italy;Brunico;via Walther Von der Vogelweide 17 Brunico 39031 Italy;467.927.709;11.949.283;1000;No;No;Creative Alpine
Villa Crespi;Italy;Orta San Giulio;via Fava 18 Orta San Giulio 28016 Italy;457.964.778;84.159.486;1000;No;No;Creative Mediterranean Cuisine
Quattro Passi;Italy;Marina del Cantone;via Vespucci 13 n Marina del Cantone 80061 Italy;405.857.091;143.537.561;1000;No;No;Mediterranean Cuisine Contemporary
La Pergola;Italy;Rome;via Cadlolo 101 Rome 00136 Italy;419.187.946;124.461.151;1000;No;No;Mediterranean Cuisine Contemporary
Reale;Italy;Castel di Sangro;contrada Santa Liberata localitA Casadonna Castel di Sangro 67031 Italy;417.800.349;14.094.554;1000;No;No;Modern Cuisine Creative
Da Vittorio;Italy;Brusaporto;via Cantalupa 17 Brusaporto 24060 Italy;456.756.778;97.692.511;1000;No;No;Italian Contemporary
Osteria Francescana;Italy;Modena;via Stella 22 Modena 41121 Italy;446.448.099;109.215.518;1000;No;No;Creative
Dal Pescatore;Italy;Runate;localitA Runate 15 Runate 46013 Italy;451.712.728;103.565.788;1000;No;No;Italian Contemporary
Piazza Duomo;Italy;Alba;vicolo dell Arco 1 angolo piazza Risorgimento 4 Alba 12051 Italy;447.005.555;80.359.341;1000;No;No;Creative Seasonal Cuisine
Schloss Schauenstein;Switzerland;FA 1 4rstenau;Schlossgass 77 FA 1 4rstenau 7414 Switzerland;467.211.969;94.462.648;1000;No;No;Creative Country cooking
Restaurant de l HA tel de Ville;Switzerland;Crissier;Rue d Yverdon 1 Crissier 1023 Switzerland;465.539.842;65.767.178;1000;No;No;Classic French Seasonal Cuisine
Sven Wassmer Memories;Switzerland;Bad Ragaz;Bernhard-Simon-Strasse 2 Bad Ragaz 7310 Switzerland;470.002.941;95.037.741;1000;No;No;Creative Farm to table
Cheval Blanc by Peter Knogl;Switzerland;Basel;Blumenrain 8 Basel 4001 Switzerland;475.604.261;75.875.706;1000;No;No;Classic French
Kanda;Japan;Tokyo;1F Toranomon Hills Residential Tower 1-1-1 Atago Minato-ku Tokyo 105-0002 Japan;356.658;139.748;1000;No;No;Japanese
Azabu Kadowaki;Japan;Tokyo;2-7-2 Azabujuban Minato-ku Tokyo 106-0045 Japan;35.655.993;139.733.551;1000;No;No;Japanese
Kohaku;Japan;Tokyo;3-5-5 Kagurazaka Shinjuku-ku Tokyo 162-0825 Japan;35.700.825;139.740.832;1000;No;No;Japanese
